source,raw_text
github_scipy,CI: CodeQL Analyze (cpp) failing about 75% of the time for non-main branches
github_scipy,"BUG: QMC Sobol' sequences may violate the (0,m,2)-net property for dimension >= 3"
github_scipy,DOC: Intersphinx inventory not available
github_scipy,scipy.signal.convolve misses output dimensions as in numpy.convolve
github_scipy,CI: linalg: dev deps failing due to NumPy deprecation of generic time units
github_scipy,BUG: ABI-breaking changes for `cython_special.bdtrik` & co in `main`
github_scipy,BUG: The COBYLA optimizer doesn't seem to respect boundaries
github_scipy,BUG: scipy.integrate.ode with integrator='vode' uses transposed Jacobian convention in 1.17.x
github_scipy,ENH: recently-published Hausdorff algorithms
github_scipy,BUG: umbrella issue for SciPy C Extension Analysis Report
github_scipy,BLD: warnings from `lld-link` on Windows
github_scipy,BLD: warnings from SuperLU on Windows
github_scipy,BUG: ValueError: could not convert integer scalar when assigning values to large sparse matrices
github_scipy,BUG: `_batched_linalg` wrapper for `linalg.solve` silently copies the matrix for C-contiguous arrays
github_scipy,ENH: interpolate.RBFInterpolator: add Matérn kernel
github_scipy,RFC: declaring netcdf IO functions in `scipy.io` as legacy
github_scipy,DOC: return _RichResult is a bit strange with leading underscore
github_scipy,DOC: `elementwise.find_root`: transforming a callable to be strictly elementwise
github_scipy,BUG: matplotlib: The Pareto PDF from scipy doesn't match my own derivation from the docs
github_scipy,BUG: optimize.nnls: double free crash on empty input
github_scipy,BUG: scipy.stats.poisson_binom vectorization does not work for >64 inputs
github_scipy,ENH: signal.sosfilt to accept multiple sos arrays
github_scipy,BUG: scipy.stats.describe().variance is failing on boolean arrays
github_scipy,BLD: mixed path separators in `scipy/__config__.py` on Windows
github_scipy,ENH/BENCH: signal.oaconvolve: performance enhancements
github_scipy,BUG: linalg TestDTypes.test_det[g] failing on 32-bit armhf
github_scipy,BLD: meson warning for duplicate `include_directories`
github_scipy,ENH: stats: Pearson Distribution
github_scipy,BUG: optimize: test_linprog.py::TestLinprogHiGHSMIP::test_mip_rel_gap_passdown fails
github_scipy,"`integrate.nquad`: `[dict([])] * depth` creates shared dict references, not independent option dicts per integration level"
github_scipy,`integrate.quad`: missing `elif` in error-6 handler causes first validation message to be silently overwritten
github_scipy,DOC: nan policy 'omit' doesn't work on stats.ttest_ind on cupy arrays
github_scipy,DOC: Clarify `scipy.special.kolmogorov` docstring
github_scipy,CI: checksum verification failing for Windows Intel OneAPI downloads
github_scipy,BENCH: switch timing from spmatrix to sparray
github_scipy,Tracking spmatrix deprecation progress and action items
github_scipy,CI: cross-job cache restores have extremely low ccache hit rate
github_scipy,BUG: `scipy.sparse.linalg.tfqmr` raises `UnboundLocalError` when `maxiter=0` and `show=True`
github_scipy,ENH:  Add Inverse Chirp Z-Transform (ICZT) to scipy.signal
github_scipy,BLD: having difficulties building with more modern rtools versions
github_scipy,DOC: Inconsistent use of conda and mamba in Developer Documentation
github_scipy,BUG: Unstable behavior of `stats.mannwhitneyu` from v1.17.0
github_scipy,CI: linalg: `_fblasmodule.c` build failures in dev deps job
github_scipy,CI: linalg: `TestSolve::test_structure_detection` crashing on Win-ARM64
github_scipy,BUG: `special.lambertw` gives `nan` for -1/e
github_scipy,BUG: 1.17 regression: `spatial.transform.Rotation.approx_equal` return type changed for 0d rotations
github_scipy,BUG: optimize.root: minpack solvers Jacobian count is off by one
github_scipy,BUG: FreeBSD 15.0 gfortran compiler problem
github_scipy,BUG: `Rotation.apply` fails with read-only np array in 1.17.1
github_scipy,MAINT/DOC: optimize.root: sparse arrays as `jac` unsupported with `hybr`
github_scipy,BUG: Structural vulnerability in f2py version check causes name collision with scipy/signal
